,Year,Month,temp,Nombre,population,co2_including_luc,cumulative_co2_including_luc
435,1953,7.0,0.01,4.0,2640278784.0,12479.874,644319.0
436,1954,7.0,-0.19,3.0,2691979264.0,12793.677,657112.688
437,1955,7.0,-0.11,0.0,2746072064.0,13628.81,670741.5
438,1956,7.0,-0.09,5.0,2801002752.0,14315.245,685056.812
439,1957,7.0,0.02,6.0,2857866752.0,14768.167,699824.938
440,1958,7.0,0.05,3.0,2916108032.0,15192.604,715017.562
441,1959,7.0,0.03,6.0,2970292224.0,15960.473,730978.0
442,1960,7.0,-0.04,3.0,3019233536.0,15955.755,746933.75
443,1961,7.0,0.01,2.0,3068370688.0,15524.516,762458.25
444,1962,7.0,0.02,3.0,3126686720.0,15643.748,778102.062
445,1963,7.0,0.06,4.0,3195779328.0,15924.23,794026.25
446,1964,7.0,-0.04,7.0,3267212288.0,16305.338,810331.625
447,1965,7.0,-0.13,8.0,3337112064.0,16384.297,826715.875
448,1966,7.0,0.08,8.0,3406416896.0,16714.65,843430.562
449,1967,7.0,0.02,8.0,3475448064.0,17168.934,860599.5
450,1968,7.0,-0.13,8.0,3546810880.0,17888.312,878487.812
451,1969,7.0,-0.04,8.0,3620655360.0,18433.381,896921.188
452,1970,7.0,0.01,5.0,3695390208.0,19497.402,916418.562
453,1971,7.0,-0.08,6.0,3770163200.0,20091.359,936509.875
454,1972,7.0,0.01,4.0,3844800768.0,20819.232,957329.188
455,1973,7.0,0.12,3.0,3920251392.0,21533.803,978862.938
456,1974,7.0,-0.03,9.0,3995516928.0,21338.432,1000201.375
457,1975,7.0,-0.01,7.0,4069437184.0,21424.682,1021626.062
458,1976,7.0,-0.1,8.0,4142505728.0,22296.721,1043922.812
459,1977,7.0,0.2,11.0,4215772416.0,22910.027,1066832.875
460,1978,7.0,0.04,6.0,4289657600.0,23300.564,1090133.375
461,1979,7.0,0.04,8.0,4365582848.0,23677.932,1113811.375
462,1980,7.0,0.22,19.0,4444007936.0,23585.891,1137397.25
